Protocol,Mode,Scenario,Run,Seed,N,Slot,OnsetSlot,HotspotActive,Algorithm,BudgetFraction,Satisfaction,Migrations,MigrationMB,AdmissionTransitions,RejectionTransitions,TotalPlacementStateTransitions,AdmittedTasks,RejectedTasks,RuntimeSec,BudgetGuardEnabled,MoveBudget,RepairOverride,BudgetExcess,ResourceViolationRate
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,14,11,1,BigMECGreedy,0.05,51.6666666666667,16,22.6294,0,0,16,140,40,0.000455,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,14,11,1,BudgetedLNS,0.05,65.5555555555556,2,3.4508,0,0,2,138,42,0.1071522,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,15,11,1,FullResched,0.05,60,49,74.5906,0,0,49,139,41,0.0123334,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,15,11,1,HIVE,0.05,48.8888888888889,58,83.1514,1,0,59,140,40,1.2454002,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,15,11,1,BigMECGreedy,0.05,48.8888888888889,19,26.8102,0,0,19,140,40,0.0003695,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,15,11,1,BudgetedLNS,0.05,60.5555555555556,1,0.73,1,0,2,139,41,0.080492,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,16,11,1,FullResched,0.05,52.2222222222222,43,64.2382,1,0,44,140,40,0.0167378,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,16,11,1,HIVE,0.05,46.6666666666667,57,81.4259999999999,1,0,58,141,39,0.9163704,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,16,11,1,BigMECGreedy,0.05,51.1111111111111,27,36.6318,0,0,27,140,40,0.0003841,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,16,11,1,BudgetedLNS,0.05,61.6666666666667,5,6.6362,1,0,6,140,40,0.0751298,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,17,11,1,FullResched,0.05,53.8888888888889,46,68.419,1,0,47,141,39,0.0112072,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,17,11,1,HIVE,0.05,45,40,58.0666,0,0,40,141,39,1.0553898,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,17,11,1,BigMECGreedy,0.05,46.1111111111111,24,36.4326,1,0,25,141,39,0.0006556,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,17,11,1,BudgetedLNS,0.05,62.7777777777778,0,0,0,0,0,140,40,0.1266237,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,18,11,1,FullResched,0.05,62.7777777777778,41,59.792,0,1,42,140,40,0.0254639,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,18,11,1,HIVE,0.05,51.6666666666667,55,75.9844,0,0,55,141,39,1.2227335,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,18,11,1,BigMECGreedy,0.05,60.5555555555556,21,29.2656,0,1,22,140,40,0.0003916,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,18,11,1,BudgetedLNS,0.05,60.5555555555556,3,4.1808,1,0,4,141,39,0.0821402,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,19,11,1,FullResched,0.05,55,52,73.7944,2,0,54,142,38,0.0132433,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,19,11,1,HIVE,0.05,52.2222222222222,58,80.1652,0,0,58,141,39,1.2521317,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,19,11,1,BigMECGreedy,0.05,53.3333333333333,20,28.5356,0,0,20,140,40,0.0003808,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,19,11,1,BudgetedLNS,0.05,61.1111111111111,0,0,0,0,0,141,39,0.0900968,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,20,11,1,FullResched,0.05,55,52,76.7806,0,1,53,141,39,0.0177542,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,20,11,1,HIVE,0.05,52.2222222222222,52,69.8128,1,0,53,142,38,1.3973307,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,20,11,1,BigMECGreedy,0.05,43.8888888888889,17,23.3594,2,0,19,142,38,0.0005983,0,NaN,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,20,11,1,BudgetedLNS,0.05,60.5555555555556,0,0,0,0,0,141,39,0.1272535,1,9,0,0,0
paper2_revision_v3_transition_audit_20260906,SMOKE,compute_hotspot,1,2026074101,180,21,11,1,FullResched,0.05,53.8888888888889,51,75.0552,0,1,52,140,40,0.016428,0,NaN,0,0,0
