Protocol,Mode,Scenario,Run,Seed,N,Slots,OnsetSlot,Algorithm,BudgetFraction,MeanSatisfaction,PreOnsetMeanSatisfaction,PostOnsetMeanSatisfaction,OnsetWindowMeanSatisfaction,TotalMigrations,PostOnsetMigrations,MigrationMB,PostOnsetMigrationMB,MeanAdmittedTasks,MeanRejectedTasks,PostMeanAdmittedTasks,PostMeanRejectedTasks,RuntimeSec,RepairOverrides,MaxBudgetExcess,CandidateEvaluations,AcceptedMoves,BudgetActiveSlots
paper2_revision_v2_20260731,ONSET,link_hotspot,1,2026075101,180,200,51,FullResched,0.05,49.6472222222223,46.7111111111111,50.6259259259259,50.2222222222222,8554,6280,19859.1284,14878.0104,152.935,27.065,152.946666666667,27.0533333333333,4.9931368,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,1,2026075101,180,200,51,HIVE,0.05,40.7722222222222,36.7222222222222,42.1222222222222,41.3333333333333,10405,7579,22123.7574,15850.7654,153.48,26.52,153.58,26.42,416.0189573,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,2,2026075102,180,200,51,BigMECGreedy,0.05,29.4194444444445,32.5111111111111,28.3888888888889,28.0277777777778,3655,2582,8862.7246,5749.9202,153.56,26.44,153.586666666667,26.4133333333333,0.1999837,0,0,153555,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,2,2026075102,180,200,51,BudgetedLNS,0.05,48.6416666666667,51.3111111111111,47.7518518518519,46.8055555555556,328,273,2017.2898,1683.9836,153.13,26.87,153.186666666667,26.8133333333333,44.7578441,1,3,21513,190,1
paper2_revision_v2_20260731,ONSET,link_hotspot,2,2026075102,180,200,51,FullResched,0.05,45.1916666666666,45.1222222222222,45.2148148148148,45.6388888888889,9954,7362,22900.291,16581.7042,153.335,26.665,153.34,26.66,5.5443355,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,2,2026075102,180,200,51,HIVE,0.05,43.6194444444445,44.1666666666667,43.437037037037,44.8611111111111,12041,8877,20711.9146,14823.7966,153.13,26.87,153.16,26.84,455.0775501,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,3,2026075103,180,200,51,BigMECGreedy,0.05,35.3638888888889,37.8666666666667,34.5296296296296,34.4722222222222,3370,2403,8923.6674,5992.4992,153.5,26.5,153.553333333333,26.4466666666667,0.2420861,0,0,153500,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,3,2026075103,180,200,51,BudgetedLNS,0.05,57.175,54.3111111111111,58.1296296296296,56.9444444444444,194,126,1027.061,607.2756,152.86,27.14,152.793333333333,27.2066666666667,46.89481,1,1,21468,163,1
paper2_revision_v2_20260731,ONSET,link_hotspot,3,2026075103,180,200,51,FullResched,0.05,41.2416666666667,39.9777777777778,41.662962962963,40.8888888888889,9449,7050,20090.2678,14849.938,153.24,26.76,153.193333333333,26.8066666666667,6.0966631,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,3,2026075103,180,200,51,HIVE,0.05,40.0055555555556,42.6888888888889,39.1111111111111,38.6111111111111,11018,8096,21793.6312,15687.973,153.23,26.77,153.22,26.78,508.5810103,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,4,2026075104,180,200,51,BigMECGreedy,0.05,32.6805555555556,34.2,32.1740740740741,32.0833333333333,5310,4000,8546.4778,6379.867,153.475,26.525,153.593333333333,26.4066666666667,0.2093235,0,0,153480,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,4,2026075104,180,200,51,BudgetedLNS,0.05,57.5944444444444,57.8111111111111,57.5222222222222,57.6111111111111,601,448,3391.93,2524.1532,152.725,27.275,152.72,27.28,40.2077545,4,3,21192,560,5
paper2_revision_v2_20260731,ONSET,link_hotspot,4,2026075104,180,200,51,FullResched,0.05,45.6333333333333,42.8222222222222,46.5703703703704,45.7222222222222,10245,7591,22277.3368,16731.6698,152.955,27.045,152.973333333333,27.0266666666667,5.1395745,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,4,2026075104,180,200,51,HIVE,0.05,37.9194444444444,39.8888888888889,37.2629629629629,39.0833333333333,12251,9172,25097.795,18733.7154,153.51,26.49,153.573333333333,26.4266666666667,380.7444948,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,5,2026075105,180,200,51,BigMECGreedy,0.05,36.6222222222223,37.2777777777778,36.4037037037037,36.7222222222222,2952,2098,10343.169,8136.9716,153.29,26.71,153.326666666667,26.6733333333333,0.1073659,0,0,153290,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,5,2026075105,180,200,51,BudgetedLNS,0.05,55.6833333333333,54.4888888888889,56.0814814814814,56.1666666666667,179,110,1311.7318,905.021599999999,152.92,27.08,152.966666666667,27.0333333333333,19.5179511,0,0,21546,128,1
paper2_revision_v2_20260731,ONSET,link_hotspot,5,2026075105,180,200,51,FullResched,0.05,50.2305555555555,46.6777777777778,51.4148148148148,51.8055555555556,7994,5779,16509.4992,11969.207,153.09,26.91,153.053333333333,26.9466666666667,2.6631157,0,0,0,0,0
paper2_revision_v2_20260731,ONSET,link_hotspot,5,2026075105,180,200,51,HIVE,0.05,45.7416666666667,42.4222222222222,46.8481481481481,46.1111111111111,10351,7593,21680.8918,16159.662,153.04,26.96,152.966666666667,27.0333333333333,215.9189729,0,0,0,0,0
